827,834
355,669
188,259
236,752
933,724
319,806
848,95
184,42
498,293
327,938
644,727
794,493
73,863
885,478
995,296
231,201
580,926
785,703
973,704
228,177
754,327
33,279
787,301
527,531
388,153
775,842
525,81
339,109
60,307
627,349
63,508
674,172
274,319
446,481
175,342
367,120
617,253
558,33
700,925
326,617
447,6
707,493
507,36
407,234
425,663
149,11
113,540
426,855
734,282
189,974
887,909
272,124
3,318
741,984
816,547
194,268
481,267
704,247
617,411
780,935
580,39
485,880
741,637
585,761
522,21
738,430
626,254
703,800
70,384
609,875
359,58
519,982
469,69
561,68
32,977
467,174
912,926
528,26
886,698
234,303
97,523
479,348
366,974
100,288
760,253
93,535
216,359
855,526
711,587
666,625
41,934
477,632
539,511
535,513
106,241
428,38
448,776
711,881
458,537
795,928
254,815
81,199
761,466
259,28
122,404
385,889
65,603
734,973
693,535
378,158
942,819
920,539
690,330
702,389
149,393
89,407
992,62
418,292
330,389
948,550
468,344
301,755
236,723
627,76
395,47
91,368
975,177
530,693
965,422
290,667
311,973
78,268
555,60
104,741
505,485
729,975
268,642
554,600
845,579
928,527
775,345
673,220
320,383
290,314
946,630
845,502
337,121
153,768
517,944
833,859
468,625
571,698
445,518
680,707
758,30
152,100
311,720
40,96
48,767
136,932
263,18
184,716
135,519
796,185
504,140
500,965
559,946
626,564
756,762
221,402
650,834
28,154
464,98
357,567
628,242
647,209
43,175
668,830
355,69
915,3
637,597
345,310
266,619
144,458
607,381
371,226
435,571
183,633
70,39
633,250
248,483
400,545
233,274
649,558
159,488
462,2
368,249
697,162
593,190
594,100
568,596
945,303
141,789
981,212
531,670
427,553
698,854
348,539
54,225
857,37
192,618
353,881
270,540
610,60
125,521
168,12
781,850
484,384
860,430
643,463
487,42
38,758
221,367
961,570
61,361
823,563
946,328
212,626
191,804
178,623
750,912
160,30
603,708
593,362
378,247
611,640
476,535
767,603
44,692
478,201
679,939
562,626
914,675
987,496
6,485
206,804
27,115
890,245
56,791
351,925
96,104
45,223
196,629
713,106
864,691
968,524
537,29
534,968
19,641
368,633
334,839
658,382
939,256
792,869
462,708
948,301
875,454
831,173
48,554
922,898
256,190
264,114
731,625
751,488
932,148
877,72
80,769
2,959
516,257
920,83
163,674
871,846
285,256
393,889
493,629
78,701
680,225
320,508
725,265
158,228
432,297
520,423
622,732
645,136
682,332
993,712
420,337
338,57
167,629
644,223
355,518
314,734
103,464
522,329
58,452
656,177
883,626
653,811
280,463
265,452
829,474
356,807
89,474
958,964
28,982
530,758
896,390
169,464
613,783
650,443
412,130
738,368
877,708
97,184
746,231
630,227
865,687
817,620
579,22
244,126
458,184
122,499
105,458
859,312
518,372
126,750
88,343
417,818
266,969
166,313
427,589
843,133
824,692
265,730
116,950
310,917
713,326
723,602
724,761
324,703
211,220
950,385
696,769
24,543
650,858
27,783
367,570
880,252
846,700
141,457
876,28
950,517
317,201
152,134
552,82
978,997
773,317
355,552
30,775
534,11
627,757
734,242
66,314
359,372
233,343
992,353
277,222
452,876
344,204
307,593
808,725
2,433
598,825
734,251
432,179
324,211
329,322
920,668
86,254
491,485
412,888
974,687
193,234
749,801
746,570
790,527
985,422
359,874
235,933
986,670
273,305
451,830
581,410
75,205
369,414
180,949
26,955
295,828
887,255
593,835
474,815
227,403
508,51
191,741
679,344
280,37
149,707
101,155
755,270
475,951
582,7
889,757
904,526
449,738
883,633
896,669
51,569
686,481
45,606
695,469
701,222
105,127
405,28
808,941
414,76
865,936
7,867
866,614
672,721
695,339
977,56
101,607
35,165
640,314
872,63
358,212
895,508
91,295
856,733
173,132
656,867
114,497
272,16
59,803
15,693
690,201
844,999
313,204
842,535
313,521
99,325
133,323
599,822
356,127
956,617
434,718
821,601
347,791
254,758
461,663
747,822
750,54
82,2
319,464
768,471
88,352
789,900
44,309
928,998
434,12
41,111
835,291
192,333
522,985
771,842
684,431
282,718
337,236
458,102
653,134
166,210
961,192
881,150
737,998
405,110
864,262
919,348
55,854
434,706
398,964
12,316
308,113
358,458
776,412
403,679
100,301
610,958
970,397
15,180
664,901
78,482
587,959
355,940
772,693
664,333
395,536
474,120
110,105
562,135
773,693
466,330
570,328
350,969
158,421
929,556
718,834
678,337
96,873
181,359
479,923
286,171
295,787
702,642
736,384
389,690
440,462
423,597
202,55
808,111
760,116
974,20
236,498
810,387
446,242
432,897
412,313
582,98
218,478
979,79
644,817
612,355
297,389
943,473
284,826
108,269
395,883
997,528
802,383
192,626
595,220
218,551
561,294
237,831
251,842
181,975
195,787
818,97
501,987
907,169
767,349
270,896
877,155
962,888
934,697
748,511
89,341
358,514
500,484
830,917
109,234
89,835
208,588
732,339
30,709
655,286
907,997
283,135
637,646
580,419
442,797
717,545
18,554
48,833
948,218
702,496
1,479
919,527
938,620
622,955
274,247
791,788
5,471
579,98
931,697
5,696
45,319
453,173
704,618
348,625
207,945
274,228
244,773
800,816
126,843
378,272
308,172
974,730
366,597
967,870
500,714
140,993
446,788
611,786
744,669
691,558
320,886
903,775
641,197
730,324
813,487
501,468
787,845
138,175
264,829
589,258
417,463
261,688
743,491
266,128
803,396
106,95
